kis-gateway-1  | 2026-01-08 03:37:33,652 - main - INFO - 📊 [Gateway] Snapshot 요청: 012330
kis-gateway-1  | 2026-01-08 03:37:34,031 - main - INFO - 📊 [Gateway] Snapshot 요청: 014680
kis-gateway-1  | 2026-01-08 03:37:34,422 - main - INFO - 📊 [Gateway] Snapshot 요청: 016360
kis-gateway-1  | 2026-01-08 03:37:34,814 - main - INFO - 📊 [Gateway] Snapshot 요청: 017670
kis-gateway-1  | 2026-01-08 03:37:35,214 - main - INFO - 📊 [Gateway] Snapshot 요청: 019180
kis-gateway-1  | 2026-01-08 03:37:35,604 - main - INFO - 📊 [Gateway] Snapshot 요청: 025560
kis-gateway-1  | 2026-01-08 03:37:36,001 - main - INFO - 📊 [Gateway] Snapshot 요청: 028260
kis-gateway-1  | 2026-01-08 03:37:36,391 - main - INFO - 📊 [Gateway] Snapshot 요청: 000660
kis-gateway-1  | 2026-01-08 03:37:36,800 - main - INFO - 📊 [Gateway] Snapshot 요청: 032830
kis-gateway-1  | 2026-01-08 03:37:37,176 - main - INFO - 📊 [Gateway] Snapshot 요청: 034220
kis-gateway-1  | 2026-01-08 03:37:37,592 - main - INFO - 📊 [Gateway] Snapshot 요청: 034730
kis-gateway-1  | 2026-01-08 03:37:37,996 - main - INFO - 📊 [Gateway] Snapshot 요청: 039490
kis-gateway-1  | 2026-01-08 03:37:38,388 - main - INFO - 📊 [Gateway] Snapshot 요청: 047810
kis-gateway-1  | 2026-01-08 03:37:38,792 - main - INFO - 📊 [Gateway] Snapshot 요청: 055550
kis-gateway-1  | 2026-01-08 03:37:39,174 - main - INFO - 📊 [Gateway] Snapshot 요청: 086280
kis-gateway-1  | 2026-01-08 03:37:39,545 - main - INFO - 📊 [Gateway] Snapshot 요청: 105560
kis-gateway-1  | 2026-01-08 03:37:39,952 - main - INFO - 📊 [Gateway] Snapshot 요청: 111770
kis-gateway-1  | 2026-01-08 03:37:40,350 - main - INFO - 📊 [Gateway] Snapshot 요청: 161390
kis-gateway-1  | 2026-01-08 03:37:40,716 - main - INFO - 📊 [Gateway] Snapshot 요청: 000720
kis-gateway-1  | 2026-01-08 03:37:41,112 - main - INFO - 📊 [Gateway] Snapshot 요청: 175330
kis-gateway-1  | 2026-01-08 03:37:38,977 - main - INFO - 📊 [Gateway] Snapshot 요청: 204320
kis-gateway-1  | 2026-01-08 03:37:39,360 - main - INFO - 📊 [Gateway] Snapshot 요청: 241560
kis-gateway-1  | 2026-01-08 03:37:39,742 - main - INFO - 📊 [Gateway] Snapshot 요청: 316140
kis-gateway-1  | 2026-01-08 03:37:40,125 - main - INFO - 📊 [Gateway] Snapshot 요청: 000990
